Index	Area	Diameter	Ellipse ratio	Circularity	Convexity	Elongation	Red cursor	Green cursor
1149	14.2463	4.25899	0.450028	0.774328	0.924227	34.5533	0	0
1150	5.63226	2.67791	0.608551	0.866689	0.974477	65.4502	0	0
1151	6.79184	2.94069	0.86489	0.993395	0.989115	100	0	0
1152	13.0039	4.06904	0.677371	0.742781	0.862391	29.4116	0	0
1153	12.01	3.91044	0.908659	0.993379	0.993756	100	0	0
1154	3.47875	2.10459	0.854039	0.901455	0.99374	100	0	0
1155	13.5837	4.15876	0.697901	0.886428	0.97059	100	0	0
1156	7.8686	3.16522	0.747843	0.930237	0.993552	100	0	0
1157	4.14137	2.29629	0.754991	0.99022	0.988623	100	0	0
1158	33.2966	6.51111	0.540547	0.726449	0.918542	27.1634	0	0
1159	3.97571	2.2499	0.745243	0.893556	0.994288	100	0	0
1160	13.0039	4.06904	0.641692	0.843991	0.96281	53.2528	0	0
1161	4.22419	2.31914	0.64521	0.907375	1	100	0	0
1162	4.88681	2.49441	0.732713	0.942188	0.971075	100	0	0
1163	5.54943	2.65815	0.592819	0.825679	0.939462	46.7049	0	0
1164	16.0685	4.52317	0.847693	0.901016	0.920052	100	0	0
1165	20.2927	5.08306	0.701973	0.933238	0.98134	100	0	0
1166	7.04032	2.994	0.777752	0.930009	0.976721	100	0	0
1167	18.0564	4.7948	0.697954	0.749103	0.801455	30.3495	0	0
1168	9.93928	3.5574	0.583317	0.851066	0.928464	56.3865	0	0
1169	8.28273	3.24745	0.537862	0.738965	0.887343	28.8646	0	0
1170	7.28881	3.04637	0.917221	0.957563	0.947947	100	0	0
1171	5.13529	2.55704	0.798975	0.926029	0.948557	100	0	0
1172	4.05854	2.27321	0.608684	0.889434	0.971056	100	0	0
1173	9.44232	3.46732	0.751253	0.966957	0.971765	100	0	0
1174	3.31309	2.05386	0.818743	0.9381	0.996585	100	0	0
1175	3.89288	2.22634	0.743587	0.953588	0.973634	100	0	0
1176	8.36556	3.26364	0.76327	1	0.989836	100	0	0
1177	14.4948	4.29597	0.319523	0.748764	0.951135	30.2982	0	0
1178	5.79791	2.71701	0.422547	0.816717	0.974074	44.0694	0	0
1179	13.0039	4.06904	0.828022	0.930648	1	100	0	0
1180	5.38378	2.61817	0.541014	0.879802	0.980825	78.5402	0	0
1181	7.20598	3.02902	0.66661	0.904473	0.994475	100	0	0
1182	13.6665	4.17142	0.370032	0.759266	0.962345	31.948	0	0
1183	8.44839	3.27976	0.616624	0.886521	0.996271	100	0	0
1184	8.11708	3.21481	0.762624	0.910167	0.965316	100	0	0
1185	6.54336	2.88639	0.815954	0.881881	0.9536	81.9974	0	0
1186	3.47875	2.10459	0.854024	0.901455	0.99374	100	0	0
1187	7.95142	3.18183	0.830269	0.945684	0.984452	100	0	0
1188	3.56158	2.12949	0.753001	0.997075	0.976555	100	0	0
1189	4.05854	2.27321	0.726111	0.894921	0.988776	100	0	0
1190	46.4661	7.69172	0.336533	0.701208	0.913128	24.1064	0	0
1191	18.8018	4.89277	0.640312	0.855147	0.911325	58.4151	0	0
1192	15.2402	4.40505	0.680185	0.836916	0.948759	50.4984	0	0
1193	6.12922	2.79356	0.500372	0.834165	0.96295	49.5105	0	0
1194	5.21812	2.57758	0.649415	0.91569	0.976056	100	0	0
1195	9.02818	3.39043	0.768337	0.903333	0.997261	100	0	0
